GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Email,org.apache.commons.mail,DefaultAuthenticator,0,13,0,0,0,4,0,2,0,2
Apache Commons Email,org.apache.commons.mail,MultiPartEmail,199,242,12,20,48,78,18,21,6,17
Apache Commons Email,org.apache.commons.mail,ImageHtmlEmail,12,136,4,8,3,37,4,8,0,6
Apache Commons Email,org.apache.commons.mail,EmailException,41,13,0,0,14,6,4,3,4,3
Apache Commons Email,org.apache.commons.mail,HtmlEmail,288,335,23,35,56,84,22,19,3,9
Apache Commons Email,org.apache.commons.mail,EmailAttachment,0,50,0,0,0,20,0,11,0,11
Apache Commons Email,org.apache.commons.mail,ByteArrayDataSource,162,0,14,0,48,0,16,0,9,0
Apache Commons Email,org.apache.commons.mail,HtmlEmail.InlineImage,29,15,4,0,9,6,6,2,4,2
Apache Commons Email,org.apache.commons.mail,EmailUtils,49,249,22,38,8,59,18,21,0,9
Apache Commons Email,org.apache.commons.mail,SimpleEmail,0,17,0,2,0,5,0,3,0,2
Apache Commons Email,org.apache.commons.mail,Email,227,1193,44,128,58,281,47,122,13,70
Apache Commons Email,org.apache.commons.mail.util,MimeMessageUtils,51,32,5,1,10,8,5,3,2,3
Apache Commons Email,org.apache.commons.mail.util,IDNEmailAddressConverter,3,80,2,6,1,14,2,9,0,7
Apache Commons Email,org.apache.commons.mail.util,MimeMessageParser,21,379,10,46,5,88,10,44,0,26
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceFileResolver,19,67,2,8,6,15,4,7,2,4
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceClassPathResolver,31,105,6,10,8,21,7,8,2,5
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceBaseResolver,0,35,0,4,0,10,0,8,0,6
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceUrlResolver,16,74,5,9,5,20,6,7,1,5
Apache Commons Email,org.apache.commons.mail.resolver,DataSourceCompositeResolver,12,73,1,9,1,18,1,9,0,5
